timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1738099093064,7008,/confirmation.php,200,OK,Blaze 1-98,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,6994,0,0
1738099097583,2496,/confirmation.php,200,OK,Blaze 1-91,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,2485,0,0
1738099095531,4553,/reserve.php,200,OK,Blaze 1-209,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,4531,0,0
1738099099391,714,Página Inicial,200,OK,Blaze 1-145,text,true,,4757,122,250,250,https://www.blazedemo.com/,701,0,287
1738099099528,581,/reserve.php,200,OK,Blaze 1-67,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,560,0,0
1738099097596,2542,Página Inicial,200,OK,Blaze 1-22,text,true,,4757,122,250,250,https://www.blazedemo.com/,2531,0,269
1738099099392,752,/purchase.php,200,OK,Blaze 1-86,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,741,0,0
1738099093151,7002,/confirmation.php,200,OK,Blaze 1-52,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,6990,0,0
1738099097150,3008,Página Inicial,200,OK,Blaze 1-235,text,true,,4757,122,250,250,https://www.blazedemo.com/,2997,0,267
1738099099887,271,/confirmation.php,200,OK,Blaze 1-148,text,true,,5780,441,250,250,https://www.blazedemo.com/confirmation.php,260,0,0
1738099098300,1870,/reserve.php,200,OK,Blaze 1-231,text,true,,7357,253,250,250,https://www.blazedemo.com/reserve.php,1851,0,0
1738099099723,458,/purchase.php,200,OK,Blaze 1-194,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,446,0,0
1738099099388,799,/purchase.php,200,OK,Blaze 1-129,text,true,,6719,300,250,250,https://www.blazedemo.com/purchase.php,786,0,0
1738099099215,978,Página Inicial,200,OK,Blaze 1-243,text,true,,4757,122,250,250,https://www.blazedemo.com/,964,0,272
